category,id,name,image,status
cpu,CPU-1000,מעבד Intel Ultra 5 225F Tray No GPU Up to 4.9Ghz AI BOOST 13TOPS,images/products/CPU-1000.webp,מוכן
cpu,CPU-1001,מעבד Intel Ultra 5 225 Tray Up to 4.9Ghz 10Cores AI BOOST 13 TOPS,images/products/CPU-1001.webp,מוכן
cpu,CPU-1002,מעבד Intel Core Ultra 5 Processor 230F 10Cores 5Ghz no GPU No Fan,images/products/CPU-1002.webp,מוכן
cpu,CPU-1003,מעבד Intel Core Ultra 5 245KF Tray No GPU No Fans Up To 5.2GHz,images/products/CPU-1003.jpg,מוכן
cpu,CPU-1004,מעבד Intel Core Ultra 5 245K Tray No Fans Up To 5.2GHz,images/products/CPU-1004.jpg,מוכן
cpu,CPU-1005,מעבד Intel Core Ultra 5 245 Tray Up To 5.1GHz NPU Intel Graphics,images/products/CPU-1005.webp,מוכן
cpu,CPU-1006,מעבד Intel Core Ultra 5 processor 250KF Plus tray 18Cores 5.3 Ghz,images/products/CPU-1006.webp,מוכן
cpu,CPU-1007,מעבד Intel Core Ultra 5 processor 250K Plus 18Cores Up to 5.3Ghz,images/products/CPU-1007.webp,מוכן
cpu,CPU-1008,מעבד Intel Core Ultra 7 265KF Tray No GPU No Fans Up To 5.5GHz,images/products/CPU-1008.jpg,מוכן
cpu,CPU-1009,מעבד Intel Core Ultra 7 265K Tray Up To 5.5GHz NPU LGA 1851,images/products/CPU-1009.jpg,מוכן
cpu,CPU-1010,מעבד Intel Core Ultra 7 processor 270K Plus 24Cores Up to 5.5Ghz,images/products/CPU-1010.webp,מוכן
cpu,CPU-1011,מעבד Intel Core Ultra 9 285K Tray Up To 5.7GHz NPU LGA 1851,images/products/CPU-1011.jpg,מוכן
cpu,CPU-1012,מעבד דור 14 Intel Core I3 14100F Tray no fan No GPU up to 4.7GHZ,images/products/CPU-1012.webp,מוכן
cpu,CPU-1013,מעבד דור 14 Intel Core I3 14100 Tray no fan up to 4.7GHZ,images/products/CPU-1013.webp,מוכן
cpu,CPU-1014,מעבד Intel Core I5-14400F Tray No GPU 4.7 Ghz No Fan 65W TDP,images/products/CPU-1014.webp,מוכן
cpu,CPU-1015,מעבד Intel Core I5-14400 Tray 4.7 Ghz intel UHD No Fan 65W TDP,images/products/CPU-1015.webp,מוכן
cpu,CPU-1016,מעבד דור 14 Intel i5-14600KF Tray 14 Cores No GPU up to 5.3Ghz,images/products/CPU-1016.webp,מוכן
cpu,CPU-1017,מעבד דור 14 Intel I5-14600K Tray 14 Cores UHD770,images/products/CPU-1017.webp,מוכן
cpu,CPU-1018,מעבד Intel I7-14700F no Gpu No Fan up to 5.4Ghz 20 cores,images/products/CPU-1018.webp,מוכן
cpu,CPU-1019,מעבד דור 14 Intel I7-14700KF Tray 20 cores NO GPU LGA1700,images/products/CPU-1019.webp,מוכן
cpu,CPU-1020,מעבד דור 14 Intel I7-14700K Tray 20 cores UHD770 LGA1700,images/products/CPU-1020.webp,מוכן
cpu,CPU-1021,מעבד Intel I7-14700 Tray No Fan up to 5.4Ghz 20 cores UHD770,images/products/CPU-1021.webp,מוכן
cpu,CPU-1022,מעבד דור 14 Intel I9-14900KF tray No GPU 24 Cores Max TDP 253W,images/products/CPU-1022.webp,מוכן
cpu,CPU-1023,מעבד דור 14 Intel I9-14900K tray 24 Cores Max TDP 253W UHD770,images/products/CPU-1023.webp,מוכן
cpu,CPU-1024,מעבד Intel Core i7-13700F Tray no Fan NO GPU up to 5.2Ghz LGA1700,images/products/CPU-1024.webp,מוכן
cpu,CPU-1025,מעבד ללא ליבה גרפית Intel i3-12100F Tray No GPU 4.3Ghz lga1700,images/products/CPU-1025.jpg,מוכן
